	ENV_COV_24_1869_S51.tsv
summarized	[('KP.3.1.1* (KP.3.1.1.X)', 0.8393802543796669), ('KP.3* (KP.3.X)', 0.15986260117659204), ('Omicron', 0.0003154564916342343), ('LB.1* (LB.1.X)', 0.0002161931191223653), ('Other', 0.0001540696922336084), ('BA.2.86* (BA.2.86.X)', 7.133228954139264e-05)]
lineages	KP.3.1.1 KP.3 MC.15 KP.3.1.3 XDY KP.3.1.2 MC.9 LB.1.9 MC.11 KP.3.2.3 MC.28 KP.4.2.2 KP.4.2.5
abundances	0.83843818 0.15911940 0.00057770 0.00036783 0.00031546 0.00027144 0.00025580 0.00021619 0.00010858 0.00010393 0.00010126 0.00007133 0.00005281
resid	9.0617916537
coverage	94.54569775607798
