	ENV_COV_24_1969_S2.tsv
summarized	[('LB.1* (LB.1.X)', 0.4973268522820657), ('BA.2.86* (BA.2.86.X)', 0.3341641137435497), ('Other', 0.08401147669769811), ('JN.1.18* (JN.1.18.X)', 0.08294747438062383), ('JN.1.7* (JN.1.7.X)', 0.0013840786024647688), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.00014654943469821224), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 1.4473445631887782e-05), ('Omicron', 4.9966288624228884e-06)]
lineages	LB.1.3 LB.1.3.4 JN.1.9.1 LB.1 JN.1.9 LB.1.8 LB.1.2 LB.1.6 LB.1.4 LY.2 JN.1.9.2 JN.1.32.1 JN.1.7.6 JN.1.59.1 MD.2 BA.2.86.5 KU.2.1 NS.2 JQ.2.1.1 JN.1.65.1 MF.2 JN.1.65 MJ.2.1.1 LB.1.10 JN.1.54.1 KP.2.3.11 MJ.1 JN.1.5 FL.1.5.2 FL.4.2 B.1.1.427 MA.1.1 LF.5 XDZ XEJ.1 B.1.1.111 NL.3 B.1.1.157 XDR.1.1 KP.4.2.4 JD.1.2.1 B.1.1.529
abundances	0.08288781 0.08288781 0.08288781 0.08288781 0.08288781 0.08288781 0.08288781 0.08288781 0.08288781 0.08288781 0.08288781 0.08288781 0.00138408 0.00035765 0.00033389 0.00027710 0.00027274 0.00027203 0.00025890 0.00024765 0.00024765 0.00024765 0.00023041 0.00019759 0.00015301 0.00008864 0.00008389 0.00008333 0.00007338 0.00007317 0.00006035 0.00005967 0.00004944 0.00004882 0.00004785 0.00004433 0.00004421 0.00003434 0.00003182 0.00002326 0.00001447 0.00000500
resid	4.276961682441053
coverage	32.00347791191519
