	depths_tsv_03_20/ENV_COV_24_0428_S34.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9993684917955311)]
lineages	JN.1.18 JN.1.4
abundances	0.99831972 0.00104877
resid	6.902866142537189
coverage	89.19840818646958
