	ENV-COV-24-1836_S36.tsv
summarized	[('BA.2.86* (BA.2.86.X)', 0.9997332954623257), ('JN.1.18* (JN.1.18.X)', 0.0002666664605168893)]
lineages	JN.1.48.1 LF.9 JN.1.48.3 LF.9.1 JN.1.18.4 KU.2.1
abundances	0.61556200 0.24869504 0.13399700 0.00133869 0.00026667 0.00014057
resid	4.304391961423662
coverage	60.66280975152995
