	ENV_COV_24_2048_S34.tsv
summarized	[('Other', 0.9995459990268613), ('BA.2.86* (BA.2.86.X)', 0.00021355220728099282), ('Omicron', 0.00014599609042939985), ('JN.1.18* (JN.1.18.X)', 9.447114782900991e-05)]
lineages	LB.1.3.4 LF.2 XH LQ.1 BA.3
abundances	0.99954600 0.00021355 0.00010138 0.00009447 0.00004462
resid	10.924227547562486
coverage	88.84058455673343
