	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV_COV_24_0285_S11.aligned..tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9997373138947214)]
lineages	JN.1.4 JN.1.4.2
abundances	0.99790536 0.00183195
resid	7.238545241830972
coverage	87.65675684713908
