	ENV_COV_24_2061_S2.tsv
summarized	[('KP.3* (KP.3.X)', 0.999021374183154), ('BA.2.86* (BA.2.86.X)', 0.0008212931451942145), ('Other', 0.00015733123784648505)]
lineages	KP.3.4 JN.1.54 JN.1.1.7 LC.1 XEA JN.1.63
abundances	0.99902137 0.00027765 0.00021515 0.00021515 0.00015733 0.00011335
resid	8.753542734647995
coverage	79.43015750928001
