	../variants/ENV-NIC-23-0934.tsv
summarized	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.6434608280901548), ('XBB* (XBB.X)', 0.2376581034189248), ('BA.2.86* (BA.2.86.X)', 0.11888086948499146), ('LB.1* (LB.1.X)', 2.549146349772844e-07), ('Omicron', 2.1892805761886676e-07)]
lineages	XBB.1.5.81 HS.1 JW.1.1 JB.2 BA.2.86 XBB.1.41.1 XBB.1.5.91 BA.2.86.6 FP.3 HS.1.1 JC.1 XBB.1.19.1 XBB XBB.2.7 FY.5.1 XBB.1.5.83 LB.1.2.2 BA.2.61 BF.19
abundances	0.27012653 0.17516578 0.17311200 0.17056500 0.11813793 0.06229178 0.02702284 0.00074294 0.00062735 0.00054022 0.00049325 0.00046467 0.00031261 0.00018443 0.00017201 0.00004045 0.00000025 0.00000012 0.00000010
resid	15.688625104939344
coverage	94.69284018325921
