	ENV_COV_24_1964_S1.tsv
summarized	[('Other', 0.4431601419914093), ('KP.3* (KP.3.X)', 0.3333329916138557), ('BA.2.86* (BA.2.86.X)', 0.21964769027312647), ('JN.1.18* (JN.1.18.X)', 0.0033150774400784256), ('Omicron', 0.00047125149032767056), ('KP.3.1.1* (KP.3.1.1.X)', 7.285383640929629e-05)]
lineages	LB.1.3.4 KP.3.4 JN.1.26 JN.1.18.8 JN.1.18.4 JN.1.48.2 XED JN.1.48.1 LR.3 XEM KR.1.3 MC.6 XDR LN.1 LN.1.1 KR.4.1 B.1.601
abundances	0.44293837 0.33333299 0.21832499 0.00213270 0.00118238 0.00076436 0.00047125 0.00026392 0.00018275 0.00016981 0.00007558 0.00007285 0.00005177 0.00001789 0.00001789 0.00000032 0.00000019
resid	7.73259467983222
coverage	47.24943985553289
