	ENV-COV-24-1785_S3.tsv
summarized	[('KP.3.1.1* (KP.3.1.1.X)', 0.6938239995846522), ('KP.3* (KP.3.X)', 0.16454499866025507), ('Other', 0.11038099819076468), ('BA.2.86* (BA.2.86.X)', 0.031250001436211934)]
lineages	KP.3.1.1 MC.19 KP.3.1 KP.3.4 JN.1.48.3 KP.3.2.4 MC.13 JQ.2.1 MC.6 KP.3.3.3
abundances	0.69200947 0.11038100 0.09523261 0.06679040 0.03073440 0.00204499 0.00133097 0.00051560 0.00048356 0.00047700
resid	10.648174745788566
coverage	94.13436778918503
