	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV_COV_24_0327_S19.aligned..tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9986256628998655)]
lineages	JN.10 JN.1.4.1 JN.1.6.1 JN.1.4 JN.1.18 JN.1.4.3 JN.1.6 JN.1.16 JN.1.21 JN.1.9 JN.1.10 JN.1.3 JN.1.2 JN.1
abundances	0.38299544 0.04735617 0.04735617 0.04735617 0.04735617 0.04735617 0.04735617 0.04735617 0.04735617 0.04735617 0.04735617 0.04735617 0.04735617 0.04735617
resid	5.3378907834587555
coverage	58.278433601979735
