	depths_tsv_05_30/ENV-COV-24-0917_S57.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.8011340290161996), ('Other', 0.19673499998539068)]
lineages	JN.1.18 BA.2.86 JN.1.1.3 BA.2.86.3 XDD.1 XDD BA.2.86.1 XDD.1.1
abundances	0.29492015 0.18272600 0.13042085 0.12914900 0.06705995 0.06705995 0.06391803 0.06261510
resid	12.83098204782725
coverage	92.85021569742166
