	ENV_COV_24_2410_S102.tsv
summarized	[('Other', 0.7832062530275137), ('LB.1* (LB.1.X)', 0.17125254568279494), ('KP.3* (KP.3.X)', 0.0434389316316529), ('KP.2* (KP.2.X)', 0.001844749366544361), ('KP.3.1.1* (KP.3.1.1.X)', 0.0001514638369885025), ('BA.2.86* (BA.2.86.X)', 0.00010700129463324434), ('Delta', 3.226713102975224e-07), ('Omicron', 3.2224791414370223e-07)]
lineages	MC.18 LB.1.3.4 LB.1.3 KP.3.6 KP.2.14 KP.3.2.3 MC.15 KP.3.2.6 MC.28 MC.17 KP.2.3.2 JN.7 LB.1.4.1 KP.2.3 KP.2.3.10 NK.1 B.1.1.267 KP.3.1.10 AY.46.1 BQ.1.25.1 B.1.305 B.1.1.350
abundances	0.47300742 0.30965900 0.17114722 0.04307951 0.00165981 0.00035942 0.00015146 0.00014819 0.00014259 0.00011388 0.00011176 0.00010700 0.00010533 0.00007318 0.00007318 0.00006043 0.00000062 0.00000049 0.00000032 0.00000032 0.00000029 0.00000016
resid	8.537300831350167
coverage	80.74106276962178
