	ENV_COV_24_1894_S64.tsv
summarized	[('BA.2.86* (BA.2.86.X)', 0.6972818450249734), ('LB.1* (LB.1.X)', 0.3024049910725556), ('Omicron', 0.0003130502194205696), ('Other', 6.676170842644968e-07)]
lineages	KQ.1 MH.1 LB.1.3 LE.1.1 LE.1 XEE B.1.1.255 B.1.334 JN.1.45 B.1.1.388 JN.1.63
abundances	0.69628006 0.29964076 0.00276423 0.00050074 0.00050074 0.00031305 0.00000030 0.00000024 0.00000018 0.00000013 0.00000012
resid	6.27212537843834
coverage	70.67852723806976
