	ENV-COV-24-1811_S21.tsv
summarized	[('KP.2* (KP.2.X)', 0.49045526479885415), ('BA.2.86* (BA.2.86.X)', 0.4193026533139156), ('Other', 0.08932009290589496), ('KP.3* (KP.3.X)', 0.0006807157920951084), ('Omicron', 0.00015318713359560655), ('JN.1.7* (JN.1.7.X)', 8.843430809037248e-05), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 6.608288331831524e-07), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 1.5731773731573617e-07), ('Delta', 1.04200527287218e-07)]
lineages	KP.2.2 JN.1.48.3 JN.1.11.2 JN.1.16.1 JN.1.64.1 LF.2 KP.3.2.1 KP.3.2 LR.1 MD.2 KP.2.15 JN.2.5 XDK.4 NS.2 XEF LK.2 JN.1.4.9 MD.1.2 XDR XEH LM.1 HQ.1 B.1.1.329 B.1.168 B.1.1.87 FL.1.5 XDK.4.1 MC.20 AY.46.1
abundances	0.49021494 0.38190593 0.08893397 0.03139521 0.00483280 0.00035858 0.00034036 0.00034036 0.00026831 0.00024784 0.00024033 0.00017092 0.00014274 0.00013310 0.00010358 0.00008843 0.00007890 0.00005894 0.00004986 0.00004961 0.00004418 0.00000066 0.00000061 0.00000036 0.00000026 0.00000016 0.00000013 0.00000012 0.00000010
resid	10.65398173461962
coverage	88.28880045480386
