	../variants/ENV-NIC-22-0645.tsv
summarized	[('Omicron', 0.9998039973627354), ('Other', 0.00016841068433603708), ('A', 2.758970988343952e-05)]
lineages	BA.5.11 BA.5 B.1.1.39 BA.5.1.28 BA.5.1.9 BE.9 BA.2.13.1 AH.2 BA.5.2.32 A.26 BA.2.41 FQ.1 B.1.1.364 XJ B.1.1.139 CN.2 BF.11.3 BA.5.1.25 DJ.1
abundances	0.99784677 0.00160251 0.00009077 0.00005979 0.00005919 0.00004507 0.00003577 0.00002845 0.00002812 0.00002759 0.00002618 0.00002609 0.00002543 0.00002455 0.00002376 0.00001514 0.00001200 0.00001142 0.00001142
resid	6.86798130620082
coverage	76.78828211216266
