	../variants/ENV-COV-24-1203_S14.tsv
summarized	[('Omicron', 0.6189675992668381), ('BA.2.86* (BA.2.86.X)', 0.3808654721445549), ('CH.1.1* [Omicron (CH.1.1.X)]', 5.4903102763256556e-05), ('JN.1.7* (JN.1.7.X)', 5.133730063938694e-05), ('BA.2.75* [Omicron (BA.2.75.X)]', 3.03759732927043e-05), ('LB.1* (LB.1.X)', 3.009785537633479e-05), ('Other', 1.3660451662355158e-07)]
lineages	BA.3 JN.1.9.2 BA.2.12 BA.2.11 BA.2.51 JN.1.36.1 BA.2.19 BA.2.16 BA.2.87 BA.2.86.6 BA.2.29 XE BA.2.22 LP.9 BA.2.50 BA.2.34 BA.2.30 BA.2.61 BA.2.53 BA.2.12.2 XAP LV.1 JN.1.50.2 MU.2.1.1 BG.4 GQ.1 BA.2.63 LK.1 BA.2.18 DF.1 BA.5.2.4 BE.4.1 BA.2.86.7 BA.2.86.5 BA.2.72 BL.2.1 JN.6 LB.1.4.1 LP.6 BA.1.4 XV BA.1.9 BA.4.6.2 B.6
abundances	0.54890800 0.37979122 0.06495655 0.00217865 0.00043085 0.00034590 0.00034352 0.00026427 0.00023404 0.00021329 0.00016062 0.00014924 0.00014619 0.00013565 0.00012944 0.00012885 0.00012618 0.00011019 0.00009511 0.00008924 0.00008871 0.00008701 0.00007177 0.00006730 0.00005750 0.00005490 0.00005221 0.00005134 0.00004979 0.00004906 0.00004892 0.00004854 0.00004851 0.00004475 0.00004025 0.00003038 0.00003036 0.00003010 0.00002972 0.00002726 0.00002547 0.00002102 0.00000794 0.00000014
resid	36.58615665998727
coverage	92.63619034879443
