	depths_tsv_05_13/ENV-COV-24-0703_S21.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9986190624870218)]
lineages	JN.11 JN.1.18
abundances	0.51309464 0.48552442
resid	11.111852859704474
coverage	66.72574658061065
