	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV-NIC-21-0207.tsv
summarized	[('Other', 0.9919266851167193)]
lineages	C.6 C.11 C.21 C.8 C.12 B.1.1.1
abundances	0.19204529 0.19204529 0.19204529 0.19204529 0.19204529 0.03170026
resid	15.614875887698076
coverage	80.01203892586028
