	ENV_COV_24_1972_S4.tsv
summarized	[('Other', 0.49875204165730147), ('KP.3.1.1* (KP.3.1.1.X)', 0.498419786560998), ('BA.2.86* (BA.2.86.X)', 0.0014454259808755613), ('LB.1* (LB.1.X)', 0.0007898854633119862), ('KP.2* (KP.2.X)', 0.0003889502951957692), ('KP.3* (KP.3.X)', 0.00020387392227852233)]
lineages	MC.13 MC.13.3 KP.4.1.3 LA.1 LB.1.4.1 LB.1.4 KP.2.15 JN.1.54.1 KP.1.1.2 KP.2.3.11 MC.28 MJ.1.1 KP.2.15.1 LU.2 LU.2.1 KP.3.3.3 ML.1 ML.2 MC.9
abundances	0.49835854 0.49835854 0.00043998 0.00043956 0.00039494 0.00039494 0.00028263 0.00020386 0.00017185 0.00017045 0.00011154 0.00011151 0.00010632 0.00009508 0.00009508 0.00006796 0.00006796 0.00006796 0.00006125
resid	5.269816010616921
coverage	66.62876634451393
