	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV_COV_24_0275_S7.aligned..tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9997461107501385)]
lineages	BA.2.86.1 BA.2.86
abundances	0.49987306 0.49987306
resid	6.430194247643151
coverage	64.859713072267
