	depths_tsv_03_20/ENV_COV_24_0250_S2.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9993666879994358)]
lineages	BA.2.86.1 BA.2.86
abundances	0.49968334 0.49968334
resid	5.191412517879659
coverage	35.49476641139685
