	depths_tsv_03_20/ENV_COV_24_0437_S39.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.999044173392623)]
lineages	JN.1.4 BA.2.86.3 JN.1.18 JN.1.4.3 JN.6
abundances	0.46874854 0.31018556 0.16919638 0.04045420 0.01045950
resid	12.215148115619625
coverage	97.13072266996622
