	depths_tsv_03_20/ENV_COV_24_0450_S42.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.8920989412593627), ('Other', 0.10675096165015809)]
lineages	JN.1.18 XDD.1 XDD.1.1 JN.5 JN.1.20 JN.1.6.1
abundances	0.85237647 0.07864306 0.02810790 0.02725300 0.00986530 0.00260417
resid	10.786981801907352
coverage	97.15747583854463
