	depths_tsv_03_20/ENV_COV_24_0453_S43.tsv
summarized	[('Other', 0.8996278458802389), ('A', 0.04886274803902766), ('BA.2.86* (BA.2.86X)', 0.025117542667950122)]
lineages	B.1.1.17 B.1.1.112 A B.1.1.101 B.1.1.10 B.1.1.168 B.1.1.46 JN.8 B.1.1.462 B.1.1.296 B.1.1.277 B.1.1.194 B.1.1.266 B.1.1.118 B.1.1.378 B.1.1.441 B.1.1.62 B.1.1.239 B.1.1.385 B.1.1.174 JN.1.13 B.1.1.447 B.1.1.166 B.1.532 A.19 B.26 B.1.252 B.1.362.2 B.1.77 B.1.1.141 B.1.1.210 JN.1.4.2 B.43 B.1.377 B.1.1.28 B.1.1.227 B.1.251 B.1.533 B.39 B.1.14
abundances	0.61476581 0.05928070 0.04547873 0.02808290 0.02300888 0.02268393 0.02176640 0.01882275 0.01114674 0.01081700 0.01045962 0.00900901 0.00830998 0.00741755 0.00693527 0.00683166 0.00560529 0.00486426 0.00426734 0.00410500 0.00399997 0.00381253 0.00359955 0.00356490 0.00338402 0.00324388 0.00315910 0.00315809 0.00259235 0.00254237 0.00232110 0.00229482 0.00202068 0.00191799 0.00160147 0.00149158 0.00146151 0.00138111 0.00137363 0.00102866
resid	78.2593039765703
coverage	99.57529344881785
