	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV_COV_24_0346_S23.aligned..tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9985928475353113)]
lineages	BA.2.86.3 JQ.1 JN.1.18 JN.1.4.1 JN.1.4
abundances	0.39939700 0.39939700 0.14501709 0.02739088 0.02739088
resid	10.543174168069473
coverage	64.29789653212052
