	ENV_COV_24_2103_S21.tsv
summarized	[('Other', 0.9937968214575598), ('BA.2.86* (BA.2.86.X)', 0.002920903701768626), ('JN.1.18* (JN.1.18.X)', 0.0028891978543428088), ('Omicron', 0.0003949859268890408), ('XBB* (XBB.X)', 7.106124609343797e-07), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 3.6999085837449945e-07), ('BA.2.75* [Omicron (BA.2.75.X)]', 3.685179732730894e-07), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 2.1512468111471163e-07), ('Delta', 2.099555471419239e-07), ('CH.1.1* [Omicron (CH.1.1.X)]', 1.8502592255868378e-07), ('Iota', 1.640964165052306e-07)]
lineages	LB.1.3.4 LY.1 LF.1 LF.9.1 MJ.2.1.1 XED LZ.2 JN.1.54 B.1.596 BF.11.3 BQ.1.1.38 FE.1.1.4 FL.4.4 FE.1.2 DS.3 EG.6.1.1 AY.42.1 EW.1 CH.1.1.30 JN.1.54.1 B.1.526 KU.2.1 JN.1.47.1 JN.2.2 NH.4 BM.2.1 BA.2.59
abundances	0.99329847 0.00270635 0.00186909 0.00105042 0.00049750 0.00039367 0.00018284 0.00000083 0.00000073 0.00000059 0.00000043 0.00000041 0.00000037 0.00000030 0.00000026 0.00000022 0.00000021 0.00000019 0.00000019 0.00000017 0.00000016 0.00000013 0.00000013 0.00000013 0.00000011 0.00000011 0.00000010
resid	4.433127384952439
coverage	43.06925726515734
