	depths_tsv_03_20/ENV_COV_24_0286_S4.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9987651159849119)]
lineages	JN.1 JN.1.18 BA.2.86 BA.2.86.3 JN.5
abundances	0.32797294 0.27777800 0.18519038 0.15743200 0.05039180
resid	11.302484663993933
coverage	95.68605156673243
