	ENV_COV_24_1919_S53.tsv
summarized	[('Other', 0.9997396046793602), ('BA.2.86* (BA.2.86.X)', 0.00017159246936370234), ('LB.1* (LB.1.X)', 8.877749970588876e-05)]
lineages	LB.1.3.4 JN.1.11.2 MU.1 LB.1.2.3
abundances	0.99880622 0.00093338 0.00017159 0.00008878
resid	4.870297987701409
coverage	55.392435541584454
