	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV_COV_24_0254_S2.aligned..tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9975358889931895)]
lineages	JN.1 JN.1.15 JN.1.16 JN.1.11
abundances	0.33211533 0.33211533 0.33211533 0.00118991
resid	7.290425861823654
coverage	81.18917834331003
