	ENV_COV_24_2038_S31.tsv
summarized	[('Other', 0.9997135617384016), ('BA.2.86* (BA.2.86.X)', 0.0002864523421786805)]
lineages	LB.1.3.4 KU.2.2 KP.2.3.11 KP.4.2.5
abundances	0.99928559 0.00028645 0.00026810 0.00015987
resid	8.395100050355017
coverage	91.63963481924891
