	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV-NIC-23-0492.tsv
summarized	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.9942414731066862)]
lineages	XBB.1.5.81 XBB.1.5.110 XBB.1.5
abundances	0.87771561 0.05826293 0.05826293
resid	4.180393217571053
coverage	85.81413236130155
