	../variants/ENV-COV-23-177.tsv
summarized	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.3824598704893132), ('XBB* (XBB.X)', 0.36391586004229964), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.20139119371988018), ('Other', 0.0498677020843204), ('Omicron', 0.0020756489195338543), ('BA.2.86* (BA.2.86.X)', 0.00013245690116551852), ('EG.5* [Omicron (EG.5.X)]', 6.245314721771661e-05), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 5.710364867048118e-05), ('XBB.2.3* (XBB.2.3.X)', 1.9007273851699106e-05), ('A', 1.8710684604066225e-05)]
lineages	XDV.1.2.1 XBB.1.5.87 XBB.1.5.84 XBB.1.5.83 XBB.1.5.96 XBB.1.5.48 XBB.1.5.78 XBB.1.5.20 XBB.1.5.76 XBB.1.5.37 XBB.1.5.65 XBB.1.5.77 XBB.1.5.49 XBB.1.5.61 GF.1 XBB.1.15.1 XBB.1.24.3 XBN XBB.2.2 XBB.1.19.2 GW.4 XBB.1.33 XBB.1.22.1 XBB.1.9.3 XBB.1.9.1 XBB.1.44.1 FE.1 XBB.1.4.2 XBB.1.41 GA.1 XBB.1.5.88 XBB.1.5.91 XBB.1.5.25 XBB.1.5.6 GN.3 XBB.1.5.51 XBB.1.5.69 XBB.1.5.34 HP.1 XBB.1.5.10 XBB.1.5.82 XBB.1.5.71 XBB.1.5.99 XBB.1.5.98 XBB.1.5.97 XBB.1.5.93 HS.1 XBB.1.5.21 XBB.1.5.13 FZ.1 FZ.2 JZ.1 HY.1 XBB.1.5.38 XBB.1.5.64 XBB.1.5.32 XBB.1.5.9 XBB.1.5.17 XBB.1.5.56 XBB.1.5.8 XBB.1.5.39 XBB.1.31 XBB.1.5.108 HP.1.1 FL.2 FL.8 FL.26 FL.6 FL.27 FL.7 FL.25 FL.21 FL.31 FL.35 FL.34 FL.40 FL.10 FL.12 FL.33 GN.5 FL.39 FL.18 FL.5 FL.3 FE.1.2 XBB.1.41.1 GA.7 GA.5 GA.8 GA.6 GA.9 XDV.1.6 XBB.1.31.2 FL.13 GD.2 FY.6 FY.8 EL.1 JK.1 XBB.1.5.68 GC.2 EK.4 FZ.1.1 EU.1 GG.1 HJ.1 XBB.1.5.5 FT.4 FT.3 XBB.1.5.94 XBB.1.5.60 XBB.1.5.81 XBB.1.5.106 HT.2 XBB.1.5.42 HA.2 HA.1 XBB.1.5.58 GW.3 XBB.1.22.3 FY.5 FY.1 FY.9 FY.3 GN.4 XBB.1.24.1 XBB.1.17.1 XBB.1.46 XBB.1.48 XBB.1.49 XBB.1.40 XBB.1.12 XBB.1.38.1 XBB.1.26 XBB.1.29 XBB.1.44 XBB.1.18.1 XBB.1.28.1 XBB.1.17 XBB.1.1 XBB.1.39 XBB.1.35 FW.3 XBB.1.32 XBB.1.30 XBB.1.5.23 XBB.1.5.43 XBB.1.5.24 XBB.1.5.22 XBB.1.5.110 XBB.3.4 XBB.3.3 XBB.3.1 XBB.2.1 XBB.2.6.2 XBB.2.6.1 XBB.1.20 XBB.2.12 XBB.2.6 XBB.3.5 BJ.1 XBB XBB.1 XBB.2 XBB.1.3 XBB.9 XBB.4 XBB.3 XBB.2.8 XBB.2.11 XBB.2.5 XBB.2.7 XBB.2.4 XBB.1.38 XBB.1.13 XBB.1.37 XBB.1.43 XBB.1.7 XBB.1.8 XBB.1.45 XBB.1.18 XBB.1.4 XBB.1.28 XBB.1.5 XBB.1.15 XBB.1.10 XBB.5 XBB.2.7.1 XBB.2.9 XBB.1.19 XBB.1.5.63 XBB.1.5.92 XBB.1.5.47 XBB.1.5.26 XBB.1.5.11 XBB.1.5.107 XBB.1.5.33 XBB.1.5.100 XBB.1.5.35 XBB.1.5.75 XBB.1.5.79 XBB.1.5.1 XBB.1.5.67 XBB.1.5.59 XBB.1.5.86 XBB.1.5.57 XBB.1.5.45 XBB.4.1 XBB.7 XBB.3.2 XBB.2.10 XBB.2.6.3 XBB.1.19.1 XBB.1.22 XBB.1.37.1 XBB.1.43.1 XBB.1.9.4 XBB.1.9.5 XBB.1.5.66 XBB.1.5.4 XBB.1.21 XBB.1.5.104 XBB.1.13.1 XBB.1.6 XBB.1.9 XBB.1.23 XBB.1.25 XBB.1.45.1 XBB.1.4.1 FW.2 FW.1 XBB.1.17.2 XBB.1.47 XBB.1.24 XBB.1.5.73 XBB.1.5.14 XBB.1.5.31 XBB.1.5.55 XBB.1.5.3 XBB.1.5.18 XBB.1.5.2 XBB.1.5.30 XBB.1.5.62 XBB.1.5.28 XBB.1.5.12 XBB.1.5.36 XBB.1.5.40 XBB.1.5.95 XBB.1.5.52 XCG GA.4 HQ.1 GW.5.2 GW.5.3 FY.5.1.1 FL.15.3 FL.32.1 FL.1.5 GA.4.1 XCC GN.1.3 XBB.1.5.70 JB.1.1 XDV.1.2 XDV.1.10 GW.5.1 GA.4.1.3 FY.1.4.1 FL.15.4 FL.15.1 FL.15.2 FL.1.5.1 FL.1.7 GK.8 GK.6 GK.7 GK.5 GK.9 GK.11 JB.2.1 XBB.1.31.1 GA.7.1 GA.2.1.1 FL.1.1 FL.5.1 FL.3.3 XDV.1.11 JC.5 GA.6.1 GN.1.2 HZ.1 GW.5 FY.5.3 FY.5.5.1 FY.4.1.2 FY.4.1.1 FY.4.2 FY.7 FY.6.2 FL.17.1 FL.13.5 FL.13.4 FL.2.2.1 FL.2.3.1 FL.18.1.1 FL.1.4 FL.1.6 FL.1.1.1 XDE GA.4.1.2 FL.2.2 GK.1.11.1 HN.7 KC.1.1 GK.1.11 GK.1.1.1 GK.1.2.1 GK.2.4 XDV.1.8 KE.1 KF.1 KF.2 HN.4.1 XCR GK.1.10 GA.4.1.1 XCK GK.1.10.1 GK.1.8 GK.1.6.1 XDV.1.3 HN.4.2 KN.1 GK.1.8.1 KN.1.1 XDV XDV.1 XDV.1.4 HN.3.1 HN.4 GK.3.2 GK.1.6 GK.3 XBW GW.5.3.1 HN.5 FL.1.5.2 XDV.1.7 GK.1 GK.8.1 GK.2 GK.12 GK.3.1 GW.5.1.1 FL.15.1.1 HN.3 HN.1 HN.6 GK.1.2 GK.2.2 XCD HN.8 KC.1 GK.1.5 GK.1.1 GK.1.4 GK.1.7 FL.1.2 FW.1.1.1 FL.2.7.1 FE.1.1 FL.21.1 FL.35.1 FL.16 FL.32 FL.22 FL.9 FL.2.7 FL.2.5 FL.2.1 FL.2.3 FL.3.2 FL.3.1 FE.1.1.2 FT.3.1.1 FE.1.1.5 FE.1.1.4 FW.1.1 XBB.1.41.3 GA.2 GA.7.2 XBB.1.47.1 GN.1 GN.2 HS.1.1 FL.2.4 EU.1.1.2 FL.29 FL.37 FL.26.1 FL.13.3 XBB.1.5.29 HZ.3 HZ.2 GC.1 EK.3 KM.1 EU.1.1 XBB.1.5.50 XBB.1.5.85 HT.1 FH.1 FT.3.1 FT.1 XBB.1.5.27 XBB.1.5.90 GV.1 GR.1 XBL FY.5.1 FY.1.1 FY.1.3 GD.1 GD.3 FL.33.1 FL.17 XBB.1.5.103 EU.1.1.1 FT.2 JB.1 FL.3.4 FE.1.1.3 JW.1 JC.6 JC.1 JC.3 JC.4 JC.2 GA.2.1 GA.4.2 GN.1.1 EU.1.1.3 KA.1 JB.2 FL.18.1 XBB.1.5.72 XDV.1.1 XBL.1 FY.5.2 FY.5.5 FY.4.1 FY.3.1 XBB.1.9.7 FL.17.2 FL.13.3.1 FL.21.2 FL.28 FL.30.1 FL.1 FE.1.1.1 FL.2.6 FL.13.1 XBB.1.5.53 XBB.1.5.41 XBB.1.5.89 XBL.2 FY.1.4 FY.4 FY.3.3 FY.3.2 FL.10.1 FY.8.1 FY.6.1 FL.13.2 XDV.1.9 FL.36 FL.11 FL.14 FL.10.3 FL.30 FL.15 XBB.1.5.54 XBB.1.41.2 FL.4.6 JD.2 XBB.1.5.102 KE.3 XBB.1.36 XBB.1.24.2 HE.1 HE.2 KR.1.3 FL.13.4.1 XBB.8.1 XBB.8 XBB.8.2 GK.4 KB.2 EG.4.2 B.56 JN.3.3 XBL.3 XBL.3.1 GK.2.1.1 XCL GK.2.1 GE.1.5 A.18 BA.5.5.3
abundances	0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00207208 0.00049530 0.00033434 0.00031476 0.00029394 0.00029394 0.00021706 0.00017724 0.00012985 0.00010928 0.00010928 0.00009384 0.00008448 0.00007483 0.00007483 0.00007483 0.00006938 0.00006245 0.00005710 0.00005032 0.00003862 0.00003265 0.00003265 0.00002211 0.00002211 0.00002211 0.00001901 0.00001871 0.00000357
resid	0.01516980620145345
coverage	7.664782797712604
