	../variants/ENV-COV-23-0854.tsv
summarized	[('XBB* (XBB.X)', 0.5561688978001358), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.2700228474252869), ('BA.2.86* (BA.2.86X)', 0.16630676468725286), ('Omicron', 0.007141228810232312), ('Other', 0.000360230682062983)]
lineages	JC.4 XBB.1.5.28 JB.2 BA.2.86 BA.2.86.2 JC.6 FY.5 XBB.1.5.84 BA.2.10 BA.2.38.3 JW.1.1 XBB.1.5.37 XBB.1.5.19 XBB.1.31 FP.3 XDQ BA.2.10.3 XBB.1.5.77 XBB.1.42.1 XBB.8 HP.1.1
abundances	0.48641682 0.14298926 0.10852700 0.08542436 0.08088240 0.03846151 0.02919114 0.01674740 0.00464122 0.00232827 0.00104167 0.00080580 0.00065466 0.00037439 0.00036914 0.00036023 0.00017173 0.00016313 0.00016082 0.00015341 0.00013559
resid	14.167618162909873
coverage	97.14744340032773
