	ENV-COV-24-1753_S55.tsv
summarized	[('BA.2.86* (BA.2.86.X)', 0.9988786314788114), ('KP.2* (KP.2.X)', 0.0005370414016740765), ('Other', 0.00044712836680604363), ('JN.1.18* (JN.1.18.X)', 0.00013737987803017737), ('Omicron', 3.359636107058896e-07), ('Delta', 1.7460204743545326e-07), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 1.526183250824326e-07), ('XBB* (XBB.X)', 1.3133856051830333e-07), ('EG.5* [Omicron (EG.5.X)]', 1.0875849472975889e-07)]
lineages	KR.4.1 KP.1.1 JN.1.1.5 KR.4 KP.2.15 LT.1 LF.5 LR.1 JN.1.39.1 LP.10 KP.2.3.9 KP.2.3.11 LY.1 LF.9.1 B.1.346 DT.3 B.1.1.481 AY.46.2 XBB.1.5.103 B.1.36.34 XBB.1.30 JN.1.11.2 B.1.1.185 B.1.418 HK.3.3 BF.11.3
abundances	0.42071708 0.26393918 0.15951991 0.15378095 0.00053704 0.00027421 0.00024179 0.00019634 0.00017481 0.00016346 0.00014274 0.00013998 0.00013738 0.00003436 0.00000027 0.00000023 0.00000019 0.00000017 0.00000015 0.00000014 0.00000013 0.00000012 0.00000012 0.00000011 0.00000011 0.00000010
resid	11.089401990179942
coverage	92.20813965153998
