	../variants/ENV-COV-24-1260_S1.tsv
summarized	[('KP.3* (KP.3.X)', 0.9994689843664857), ('BA.2.86* (BA.2.86.X)', 0.00022017564044386184), ('JN.1.18* (JN.1.18.X)', 0.000125501109577441), ('Omicron', 8.032608756778466e-05), ('Alpha', 5.874536981720531e-05), ('Other', 4.6286771392557195e-05)]
lineages	KP.3.6 KP.3.4 KP.3.1.4 BA.2.86.7 LY.2 KP.3.1.6 BE.5 JN.1.39.1 Q.4 B.1.1.97 MP.1
abundances	0.62233341 0.37686600 0.00015332 0.00014531 0.00012550 0.00011626 0.00008033 0.00007474 0.00005875 0.00004629 0.00000012
resid	10.006213688521637
coverage	91.6530114035381
