	depths_tsv_03_20/ENV_COV_24_0397_S26.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9986939342903867)]
lineages	BA.2.86.3 BA.2.86.1 JN.1.18 JN.1.4
abundances	0.54881307 0.20587626 0.15868659 0.08531800
resid	12.75202853590909
coverage	97.32468314215964
