	ENV_COV_24_1985_S9.tsv
summarized	[('Other', 0.9983744220386016), ('BA.2.86* (BA.2.86.X)', 0.0007809806416439524), ('JN.1.18* (JN.1.18.X)', 0.0003649726772893684), ('LB.1* (LB.1.X)', 0.00029682404350872066), ('Omicron', 0.00018279551208175339)]
lineages	LB.1.3.4 JN.1.18.6 KU.2 LB.1.4.1 JN.1.25.1 JN.1.64.1 NC.1 BQ.1.1.57 KP.2.3.11 XEA BA.2.8
abundances	0.99792907 0.00036497 0.00031080 0.00029682 0.00025863 0.00021155 0.00019619 0.00013195 0.00012996 0.00011920 0.00005085
resid	7.925849437998287
coverage	97.81292846871551
