	ENV_COV_24_1923_S54.tsv
summarized	[('BA.2.86* (BA.2.86.X)', 0.49988173021703397), ('JN.1.18* (JN.1.18.X)', 0.4998379879379694), ('LB.1* (LB.1.X)', 7.519934902488626e-05), ('Other', 7.105419268213383e-05), ('Omicron', 6.806967349693845e-05), ('JN.1.7* (JN.1.7.X)', 6.594233102170031e-05)]
lineages	JN.1.18.3 LR.2 MA.1.1 MB.1 MA.1 LE.1.1 JN.1.18.8 JN.1.2.1 JN.1.44.1 LH.2 BA.2.86.5 JN.1.1.8 JN.1.56.1 LZ.1.1 LZ.1 KR.4.1 LB.1.9 XEG LK.1 BF.7.5 BF.7.5.1 LU.2 LU.2.2 LU.2.1 B.58 JH.2
abundances	0.16632267 0.16632267 0.16632267 0.16632267 0.16632267 0.16632267 0.00048852 0.00022613 0.00018093 0.00017774 0.00013188 0.00011855 0.00010691 0.00010186 0.00010186 0.00008333 0.00007520 0.00007084 0.00006594 0.00003396 0.00003396 0.00002200 0.00002200 0.00002200 0.00000022 0.00000014
resid	1.4766603698104275
coverage	23.96749490017724
