	ENV-COV-24-1793_S7.tsv
summarized	[('BA.2.86* (BA.2.86.X)', 0.5002651693980299), ('JN.1.18* (JN.1.18.X)', 0.49967047584661206), ('Other', 7.216999820254824e-05), ('Omicron', 5.709269831320596e-06), ('KP.2* (KP.2.X)', 1.560479899001049e-06), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 1.4426463540176545e-06), ('Delta', 1.13735437169458e-06), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 9.84190540248349e-07), ('EG.5* [Omicron (EG.5.X)]', 9.293525943843232e-07), ('XBB* (XBB.X)', 8.417516743170963e-07), ('CH.1.1* [Omicron (CH.1.1.X)]', 3.954469439523678e-07), ('JN.1.7* (JN.1.7.X)', 3.934570750148864e-07), ('XBB.2.3* (XBB.2.3.X)', 3.397619182385515e-07), ('Gamma', 1.822745840004118e-07), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 1.5570888250505462e-07), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 1.2171123005176378e-07)]
lineages	JN.1.18.5 MD.1 JN.1.4.9 MD.3 LE.1 JN.1.39.1 XDR.1 XDZ B.1.338 S.1 EA.2 LE.1.3.1 KP.2.3.5 XBB.1.16.6 AY.46.1 HK.25 B.1.1.115 HA.1 BA.2.8 BA.5.11 JN.1.7.8 BF.7.5 XBB.1.5.72 B.1.177.2 B.1.1.154 FW.3 FY.1.3 CP.1 GK.1.10.1 B.1.564.1 XDR.1.1 XAE B.1.441 XED XBF.1.1 AY.17 BA.4.1.8 XAY.1.1.3 FK.1.2 FK.1.2.1 P.1.2 XBF.6 B.1.532 CP.1.1 B.1.407 EG.2.1 B.1.1.375 XAC LF.5 AA.3 BA.2.9.7 BG.7 XBB.8.1 GA.4.3 XEC.9 FL.32.1 GK.1.10 XBB.2.3.9 GJ.1.1 GM.1 BA.1.1.6 BA.5.3.5 LF.10 BF.3.1 LE.1.1 HK.31
abundances	0.49967048 0.49967048 0.00027043 0.00015484 0.00011874 0.00004885 0.00004512 0.00001688 0.00000391 0.00000299 0.00000194 0.00000158 0.00000156 0.00000098 0.00000090 0.00000083 0.00000076 0.00000070 0.00000066 0.00000040 0.00000039 0.00000038 0.00000034 0.00000033 0.00000031 0.00000030 0.00000029 0.00000028 0.00000028 0.00000027 0.00000026 0.00000026 0.00000026 0.00000024 0.00000024 0.00000023 0.00000022 0.00000021 0.00000020 0.00000020 0.00000018 0.00000017 0.00000016 0.00000016 0.00000016 0.00000016 0.00000015 0.00000015 0.00000014 0.00000014 0.00000014 0.00000013 0.00000013 0.00000013 0.00000013 0.00000012 0.00000012 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000010
resid	6.747660915970743
coverage	57.02103467879477
