	../variants/ENV-NIC-23-0931.tsv
summarized	[('XBB* (XBB.X)', 0.5981215947493865), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.22499999890286385), ('BA.2.86* (BA.2.86.X)', 0.05603550653905456), ('Other', 0.05551463157057987), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.04478899841515696), ('Omicron', 0.020206057281815782), ('Delta', 0.0003332108596241994)]
lineages	JW.1.1 JB.2 XBB.1.5.81 JC.4 BA.2.86 XBB.1.16.17 XDV XBB.1.5.91 JW.1 JC.5 B.1.111 XAH XBB.1.41.3 B.1.1.529 BA.2.86.2 XAE BA.2.38.3 HP.1.1 XDQ BF.26 B.1.535 XBB.1.5.27 XBB.1.16.24 AY.92 XCD BA.2.86.6 XBB.1.5.78 B.1.220 XBB.1.16.11 XBB.1.16.10 FD.4 AY.80
abundances	0.47728200 0.10974300 0.08620435 0.06169390 0.05488801 0.04404644 0.03750236 0.02775060 0.02395901 0.01983770 0.01672614 0.01626888 0.01534899 0.00237100 0.00085251 0.00059940 0.00059490 0.00050531 0.00039952 0.00037188 0.00035398 0.00035286 0.00034211 0.00031812 0.00029595 0.00029498 0.00027480 0.00023669 0.00020921 0.00019123 0.00016909 0.00001510
resid	19.912059817540428
coverage	99.38802126876902
