	ENV_COV_24_1929_S58.tsv
summarized	[('BA.2.86* (BA.2.86.X)', 0.5002750421526472), ('Other', 0.3297823076871298), ('JN.1.18* (JN.1.18.X)', 0.16965361460063952), ('KP.2* (KP.2.X)', 0.00021546870374191242), ('JN.1.7* (JN.1.7.X)', 7.395225395904195e-05), ('Omicron', 3.400782571644943e-07), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 1.2541556645450044e-07)]
lineages	LB.1.3.4 JN.1.18.6 JN.1.16.1 LF.9 JN.1.48.3 LF.6 JN.1.25.1 JN.11.1 LB.1.10 KP.2.3.4 LF.5 LF.4 MJ.1 LV.2 LE.1 JN.1.7.3 B.1.1.336 NL.4 BF.11.4 B.1.564.1 B.1.1.481 GN.4 ER.1
abundances	0.32954495 0.16965361 0.16965361 0.16965361 0.15678700 0.00263965 0.00057952 0.00030048 0.00023643 0.00021547 0.00020475 0.00013145 0.00012856 0.00011750 0.00007891 0.00007395 0.00000038 0.00000022 0.00000022 0.00000017 0.00000015 0.00000013 0.00000012
resid	12.205360654433552
coverage	97.13741096211082
