	ENV_COV_24_1936_S62.tsv
summarized	[('Other', 0.3867325723464628), ('KP.2* (KP.2.X)', 0.3708445932754247), ('LB.1* (LB.1.X)', 0.23818391481184653), ('BA.2.86* (BA.2.86.X)', 0.004122919370566139), ('KP.3* (KP.3.X)', 0.00011580637806027874), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 2.320509277403183e-07), ('Omicron', 1.0085027213819209e-07)]
lineages	LB.1.3.4 KP.2 LB.1.8 LB.1 JN.1.49.1 KP.2.3 LB.1.2 MU.4 LR.1 KP.2.15 LB.1.4.1 JN.1.39.1 KP.3.4 LP.10.1 JN.1.5 KP.3.3.5 KS.1 LP.7 JZ.1 B.1.1.382 XAH
abundances	0.38596500 0.36965163 0.11857916 0.11857916 0.00337594 0.00081547 0.00066666 0.00055791 0.00047523 0.00037750 0.00035894 0.00011763 0.00011581 0.00010800 0.00009564 0.00009264 0.00005847 0.00000891 0.00000023 0.00000011 0.00000010
resid	8.279124318899045
coverage	90.41567735678694
