	ENV_COV_24_2024_S24.tsv
summarized	[('Other', 0.8355321943002897), ('KP.3* (KP.3.X)', 0.15405909526560274), ('LB.1* (LB.1.X)', 0.010039999668602943), ('KP.2* (KP.2.X)', 0.00036870733206202503)]
lineages	LB.1.3.4 KP.3.4 LB.1.3 KP.2.3.8 KP.2.15.1 KP.2.3.6
abundances	0.83500000 0.15405910 0.01004000 0.00053219 0.00027217 0.00009653
resid	9.003927761207581
coverage	97.22101461391834
