	../variants/ENV_COV_24_1545_1_S27.tsv
summarized	[('Other', 0.9995931939434065), ('Omicron', 0.000259380839714473), ('BA.2.86* (BA.2.86.X)', 5.602868504049772e-05), ('XBB.2.3* (XBB.2.3.X)', 2.7919320500695514e-05), ('KP.3* (KP.3.X)', 2.0011911602546083e-05), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 1.9650146655078154e-05), ('CH.1.1* [Omicron (CH.1.1.X)]', 1.3432822969060154e-05), ('KP.2* (KP.2.X)', 1.039458399962771e-05)]
lineages	XDD.1.1 XDD.2 XDD XDD.1.1.1 XEA XES LP.8.1 XDW BF.7.4.2 B.1.1.408 XBP XBJ.2 HH.8 JH.2 FL.13.2.1 B.1.630 XBS MK.3 NG.1 XDQ.3 BF.41.1 ML.1 FK.1.2.2 FK.1.2.1 FK.1.2 FK.1
abundances	0.41380865 0.23392650 0.23392650 0.11771435 0.00008967 0.00008038 0.00005603 0.00005377 0.00004619 0.00004614 0.00004463 0.00004345 0.00002792 0.00002067 0.00001965 0.00001787 0.00001760 0.00001454 0.00001039 0.00000975 0.00000647 0.00000548 0.00000336 0.00000336 0.00000336 0.00000336
resid	4.426149395908009
coverage	24.73999264287864
