	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV-COV-23-140.tsv
summarized	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.5296756665144083), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.20699045710478892), ('XBB* (XBB.X)', 0.18802659784747325), ('Omicron', 0.06312389107693046)]
lineages	XBB.1.5.84 XBB.1.9 FL.10 XBB.1.5.81 XBB.1.5.17 XBB.1.5.53 JB.2 BA.2.76 XAS FL.2 XBB.1.9.1 XBB.1.5.61 BA.2.52
abundances	0.27631600 0.18802660 0.16936900 0.10101000 0.06124058 0.04445507 0.04400851 0.03391269 0.02791082 0.01881073 0.01881073 0.00264550 0.00130038
resid	8.325331245817615
coverage	94.77644383506671
