	ENV-COV-24-1835_S35.tsv
summarized	[('Other', 0.7555043163916456), ('BA.2.86* (BA.2.86.X)', 0.23588553775448062), ('LB.1* (LB.1.X)', 0.008610468859898399), ('Omicron', 5.271304670264135e-07), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 3.038524050637906e-07)]
lineages	LB.1.3.4 JN.1.16.2 JN.1.16 JN.1.51.1 LB.1.3 KR.1.1 KU.2 LF.9.1 LB.1.3.3 JN.1.62 JN.1.34 LF.10 JN.1.4.8 MC.20 JN.1.25 LF.4 JQ.2.1 JN.1.63 JN.1.38 B.1.1.285 XBB.1.5.108 BA.2.3.18 LF.2 B.1.83 B.1.1.482 LA.1 JN.1.16.1 JN.1.54.1 JN.1.25.1 XAN BA.1.1.4
abundances	0.75504301 0.07760767 0.07760767 0.07760767 0.00815039 0.00060319 0.00056431 0.00047061 0.00046008 0.00045890 0.00032577 0.00032543 0.00014430 0.00013505 0.00012763 0.00012428 0.00009792 0.00008179 0.00006293 0.00000039 0.00000030 0.00000029 0.00000029 0.00000022 0.00000021 0.00000016 0.00000016 0.00000015 0.00000014 0.00000013 0.00000011
resid	5.063260656367214
coverage	85.30916630438418
