	../variants/ENV_COV_24_2273_S61.tsv
summarized	[('BA.2.86* (BA.2.86.X)', 0.812691034635632), ('KP.3* (KP.3.X)', 0.18561042907496506), ('KP.2* (KP.2.X)', 0.0010064498091854925), ('KP.3.1.1* (KP.3.1.1.X)', 0.0004291658113328507), ('Omicron', 0.00021397166161650472), ('Other', 4.900796793762341e-05)]
lineages	MB.1.1 MK.1 NK.1 KP.2.14 NG.1 BA.4.6 MC.17.1 MC.35 MC.26 LW.1.2 MC.22 XDD.3 BF.7.5 MG.3 MC.20 MC.21 BF.9 XK KP.2.3.10 BA.2.86.5 MC.3
abundances	0.81263699 0.18555256 0.00040208 0.00039952 0.00018597 0.00010967 0.00010560 0.00009846 0.00008204 0.00005787 0.00005622 0.00004901 0.00004412 0.00003702 0.00003558 0.00003556 0.00003510 0.00002509 0.00001888 0.00001702 0.00001571
resid	6.7492299947279735
coverage	66.62876634451393
