	depths_tsv_03_20/ENV_COV_24_0288_S5.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9995410072940184)]
lineages	JN.1.18 BA.2.86.3 BA.2.86.1
abundances	0.54729778 0.43393300 0.01831023
resid	10.5366003203043
coverage	96.1910176236498
