	ENV_COV_24_2022_S22.tsv
summarized	[('Other', 0.9988088843459535), ('BA.2.86* (BA.2.86.X)', 0.0006696031533859098), ('KP.2* (KP.2.X)', 0.00042827421779095495), ('JN.1.18* (JN.1.18.X)', 5.9066184251869275e-05), ('Omicron', 3.39980516820897e-05)]
lineages	LB.1.3.4 KP.2.15 JN.1.54.1 BA.2.86.7 NH.2 XEG KZ.1.1.1 KP.2.24 JN.1.18.2 LR.2 LR.1 JN.1.58.2 NS.1.1 NS.1 XAL XM
abundances	0.99854848 0.00036831 0.00027032 0.00024917 0.00015356 0.00007050 0.00006633 0.00005996 0.00005907 0.00002793 0.00002793 0.00002793 0.00001817 0.00001817 0.00001700 0.00001700
resid	4.3956563816179255
coverage	57.582851218941244
