	depths_tsv_03_20/ENV_COV_24_0454_S44.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9989418461859122)]
lineages	JN.1 JN.1.18 JN.1.6.1 JN.1.6 JN.1.11.1
abundances	0.22184696 0.22184696 0.22184696 0.22184696 0.11155400
resid	8.287212782202504
coverage	87.24877102631842
