	../variants/ENV-NIC-23-0965.tsv
summarized	[('XBB* (XBB.X)', 0.53437971273314), ('BA.2.86* (BA.2.86X)', 0.24718926487954768), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.16645199981389913), ('XBB.2.3* (XBB.2.3X)', 0.017825049918054968), ('Omicron', 0.012941653073119008), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.010538426740670532), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.0077437499657841), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.001814059040378698), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0006994960384768523), ('Other', 0.0004165848411548543)]
lineages	JC.4 BA.2.86.3 HS.1 JW.1 BA.2.86.1 XBB.1.5.81 JB.2.1 JB.2 JC.2 BA.2.86.2 JC.6 FL.25 JW.1.1 GS.4.1 EG.2 BA.2.87 GS.4 XBB.2.3 BA.2.10.4 BA.2.16 JN.4 FL.10.1 FH.1 XBB.1.16.17 HN.5 BA.2.75.7 JB.1.1 XDQ XBB.1.16.5 BA.5.3 BE.1.4.1 FZ.1 EG.12 BN.2 GG.1 FL.3.2 XBB.1.16.27 BA.2.72 EG.2.4 GS.4.1.1 XBB.1.16.13 FY.5.1.1 FD.1 JN.2.1 XBB.1.36 XBB.1.42.1 FL.5.1 XBB.1.5.77 BT.2 FD.2 BE.1.4 B.1.1.87 FY.5
abundances	0.43902890 0.18547380 0.07654120 0.04726313 0.04037107 0.03633907 0.02829150 0.02292140 0.02166300 0.01978300 0.01745880 0.00854886 0.00836217 0.00742556 0.00712987 0.00677120 0.00648934 0.00365128 0.00310305 0.00191693 0.00131926 0.00106383 0.00091491 0.00090689 0.00048438 0.00037754 0.00037580 0.00036874 0.00036443 0.00034666 0.00034118 0.00032862 0.00032776 0.00032196 0.00030893 0.00030358 0.00029078 0.00028885 0.00028612 0.00025887 0.00025195 0.00025100 0.00024900 0.00024213 0.00017709 0.00016949 0.00013778 0.00012000 0.00011331 0.00006155 0.00006048 0.00004785 0.00000613
resid	15.220621209660518
coverage	99.42480687556433
