	depths_tsv_03_20/ENV_COV_24_0429_S35.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9992642190149146)]
lineages	BA.2.86.3 JN.1.18
abundances	0.75965200 0.23961222
resid	15.757117865813484
coverage	95.61248035314182
