	ENV-COV-24-1769_S67.tsv
summarized	[('Other', 0.782412946666861), ('KP.3* (KP.3.X)', 0.216599542787416), ('BA.2.86* (BA.2.86.X)', 0.0005308385611123877), ('KP.2* (KP.2.X)', 0.00032082625382662955), ('LB.1* (LB.1.X)', 0.00013607503955520065), ('Omicron', 7.219068639481515e-07), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 2.772096576745921e-07), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 1.9894969734813547e-07), ('Delta', 1.0449163456233079e-07)]
lineages	LB.1.3.4 KP.3.4 KP.3.1.6 LF.5 KP.2.24 LP.5 MD.3.1.3 LB.1.4.1 KP.3.4.1 LF.8.1 KP.2.9 LR.1 JN.11.1 FN.1 FL.1.5.1 B.1.579 HP.1.1 N.4 BA.2.8 BA.1.1.5 BA.5.2.37 MD.3.1.1 AY.113
abundances	0.78205517 0.21596838 0.00049528 0.00026102 0.00020702 0.00019540 0.00016192 0.00013608 0.00013588 0.00011976 0.00011381 0.00008508 0.00006499 0.00000037 0.00000028 0.00000021 0.00000020 0.00000014 0.00000014 0.00000011 0.00000011 0.00000011 0.00000010
resid	9.91157516729777
coverage	91.45236263920008
