	depths_tsv_03_20/ENV_COV_24_0433_S37.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.998635836300023)]
lineages	BA.2.86 BA.2.86.3 JN.1.4 BA.2.86.1 BA.2.86.4
abundances	0.58391277 0.24557700 0.07911221 0.05145796 0.03857590
resid	12.609928541949364
coverage	98.35802427850048
