	depths_tsv_03_20/ENV_COV_24_0427_S33.tsv
summarized	[('BA.2.86* (BA.2.86X)', 0.9990847194996434)]
lineages	JN.1.18 JN.4 BA.2.86.2
abundances	0.59878772 0.25698300 0.14331400
resid	6.3234010240160465
coverage	82.91475771661706
