	ENV-COV-24-1740_S49.tsv
summarized	[('BA.2.86* (BA.2.86.X)', 0.666821255374429), ('JN.1.18* (JN.1.18.X)', 0.3329293130797799), ('Other', 0.000249845689569176), ('Omicron', 1.2814450063121464e-07), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 1.1278102103515023e-07)]
lineages	LF.9 JN.1.18.6 JN.1.16.1 LF.2 JN.1.25.1 XEJ.2 KR.1.1 KR.1.4 KR.1 JN.1.54.1 KP.4.2.3 LR.1 C.13 ED.3 XBB.1.5.73
abundances	0.33292931 0.33292931 0.33292931 0.00040808 0.00023661 0.00017981 0.00006954 0.00006954 0.00006954 0.00006908 0.00005581 0.00005395 0.00000050 0.00000013 0.00000011
resid	12.224975709403648
coverage	96.68595124235027
