	../variants/ENV-NIC-22-0830.tsv
summarized	[('Omicron', 0.9999392276581202), ('Other', 6.0780472781579197e-05)]
lineages	BA.5.11 BA.4.7 BF.7.1 BA.4.1.11 BE.7 BF.7.5 BF.7.12 CP.1.2 B.1.1.207 BF.19 B.1.1.355
abundances	0.99926552 0.00011784 0.00011486 0.00009913 0.00009026 0.00007926 0.00007237 0.00006975 0.00005482 0.00003023 0.00000596
resid	7.158052778345295
coverage	94.62930140788549
