	ENV-COV-24-1786_S4.tsv
summarized	[('BA.2.86* (BA.2.86.X)', 0.9382997243181259), ('KP.3* (KP.3.X)', 0.06120749731085524), ('Other', 0.0003615610660678482), ('KP.2* (KP.2.X)', 0.00013120203024120943)]
lineages	LF.9.1 KP.3.4 LF.9 LR.1 KP.2.3.13 KP.2.3 LF.5 LP.10 JN.1.4.8 KP.4.2.5
abundances	0.91864861 0.06120750 0.01905177 0.00043308 0.00021839 0.00013120 0.00009239 0.00008547 0.00007388 0.00005770
resid	9.13641724354241
coverage	96.66923051198876
