	ENV_COV_24_1877_S56.tsv
summarized	[('Other', 0.9988723807480757), ('BA.2.86* (BA.2.86.X)', 0.0006795443344846917), ('LB.1* (LB.1.X)', 0.0003488207036329206), ('Omicron', 9.940965067734569e-05), ('XBB* (XBB.X)', 4.226670799607047e-07)]
lineages	LB.1.3.4 LF.1 LB.1.2.1 LB.1.2 XEL LE.1.3.1 BA.4.5 JN.1.66 XEG XDD.1.1.1 GW.3 B.1.1.139
abundances	0.99865283 0.00046619 0.00020100 0.00014782 0.00013511 0.00012109 0.00009941 0.00009226 0.00008259 0.00000159 0.00000042 0.00000025
resid	3.8175176729722944
coverage	60.12774637996188
