	../variants/ENV-NIC-22-0810.tsv
summarized	[('Omicron', 0.9996099781691479), ('Other', 0.00025393999293933385), ('A', 8.401232848325506e-05), ('CH.1.1* [Omicron (CH.1.1.X)]', 5.203253532373812e-05)]
lineages	BA.5.3 BE.7 BE.6 BA.5.3.5 BA.5.3.1 BF.18 BF.31 BA.5.2.1 BA.5.2 BA.5.11 BA.5.3.2 BF.28 BF.1 BA.5.1.35 XAZ BF.7.17 BF.7.7 BF.33 BA.5.1.4 BF.38.1 A.2.2 BF.7.5 BF.27 BA.5.6.3 BA.5.6.1 EB.1 XAY.2.2 BA.5.2.13 BA.5.1.3 BE.1 BF.9 BE.4 CR.1.1 BQ.1.1.75 B.1.1.344 BF.10 BF.10.1 AL.1 B.1.1.159 BE.1.3 BA.1.14.1 B.1.1.446 XAY.2.1 CH.1.1.9 CP.3 BA.5.5.1 BF.4 EV.1 CH.1.1.30 ES.1 CD.2 BA.5.2.33 CE.1 BF.7.22
abundances	0.19519238 0.16557949 0.16557949 0.13198500 0.10292708 0.04848937 0.04848937 0.04848937 0.04848937 0.04046856 0.00117463 0.00044662 0.00019264 0.00017615 0.00016477 0.00014745 0.00014624 0.00012702 0.00012011 0.00009347 0.00008401 0.00008352 0.00007764 0.00007752 0.00007752 0.00007595 0.00006833 0.00006818 0.00006418 0.00006022 0.00005859 0.00004622 0.00004488 0.00004398 0.00004232 0.00004152 0.00004152 0.00004117 0.00003975 0.00003826 0.00003700 0.00003277 0.00002960 0.00002943 0.00002657 0.00002628 0.00002385 0.00002279 0.00002260 0.00002243 0.00001981 0.00001771 0.00001771 0.00001757
resid	9.584583844456148
coverage	84.7239407417316
