	/RAW/Depths_TSV_all_copy_B/TSV_all/TSV/ENV-NIC-23-0402.tsv
summarized	[('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.45296616835240533), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.40323655593621305), ('XBB* (XBB.X)', 0.07498610692875386), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.055202409945591675)]
lineages	FL.4 XBB.1.5.17 FL.35 XBB.1.5.83 BY.1 XBB.1.5.81 FY.6 XBB.1.9 XBB.1.5.59 XBB.1.25 XBB.1.5.71 XBB.1.5.97
abundances	0.32089717 0.25159878 0.13206900 0.08538420 0.05520241 0.04340698 0.03885618 0.02647476 0.01143234 0.00965517 0.00930233 0.00211193
resid	8.029846815723289
coverage	97.42500752432866
