	ENV-COV-24-1806_S17.tsv
summarized	[('Other', 0.5003038826239059), ('LB.1* (LB.1.X)', 0.28138061127486924), ('BA.2.86* (BA.2.86.X)', 0.1895483105768606), ('KP.3* (KP.3.X)', 0.026305159832849936), ('KP.3.1.1* (KP.3.1.1.X)', 0.0018803345632577668), ('Omicron', 0.0003407374450370055), ('JN.1.18* (JN.1.18.X)', 0.0002408671621194824)]
lineages	LB.1.3.4 LB.1.3 JN.1.16.1 JN.1.10 KP.3.1 JN.1.45 MC.10 JN.1.8 MC.27 LF.6 MC.12 JN.1.37 XDY LF.1 LZ.2 MC.24 KP.3.1.7 MC.11 LR.3 MJ.1 JN.2.4 JN.2.5 KP.3.1.4 JN.1.54.1 JN.1.25.1 LW.1.2 JN.1.34 JN.1.52 LF.5 MC.22 LW.1 JN.1.63 JN.1.57.1 DH.1 JN.1.49.1 KP.3.4 JN.1.57 LM.1 LE.1 KP.3.1.5 LB.1.2.3 XDR JN.1.38 JN.1.39.1 LB.1.2 B.1.1.327 LF.10
abundances	0.49946406 0.28130943 0.12937221 0.05526280 0.02572719 0.00146830 0.00137755 0.00099898 0.00047461 0.00038667 0.00034855 0.00030940 0.00027435 0.00024906 0.00024087 0.00019518 0.00016004 0.00015423 0.00014868 0.00013722 0.00013296 0.00011853 0.00011414 0.00011395 0.00010994 0.00010992 0.00010098 0.00009652 0.00009420 0.00009112 0.00008809 0.00007957 0.00006786 0.00006639 0.00006473 0.00006396 0.00006347 0.00005021 0.00004850 0.00004183 0.00004079 0.00003965 0.00003871 0.00003485 0.00003039 0.00002721 0.00001205
resid	12.078508637457496
coverage	96.98358024278501
