	../variants/ENV-COV-23-0950.tsv
summarized	[('BA.2.86* (BA.2.86.X)', 0.3716479420031163), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.2571313411916846), ('XBB* (XBB.X)', 0.12444883097385746), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.09625159130231936), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.08249640046299503), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0440336556882913), ('Other', 0.023989935032625094)]
lineages	BA.2.86.2 JB.2.1 HS.1 XBB.1.28.1 XBB.1.16.17 BA.2.86 JP.1.1 BM.4.1 JP.1 XCC XBB.1.41.1 JB.2 JN.13 XDV XBB.1.5.8 XBB.1.5.50 BA.2.86.5 GA.2.1 XBB.1.5.84 XBL HZ.3 XDB XBB.1.5.43 B.1.1.518
abundances	0.32397300 0.13400999 0.11989207 0.11924064 0.09625159 0.04665529 0.04461700 0.04403366 0.03787941 0.02330300 0.00499778 0.00218200 0.00080510 0.00037675 0.00031230 0.00028066 0.00021455 0.00021041 0.00019565 0.00018165 0.00016265 0.00012843 0.00009602 0.00000011
resid	14.683104433058997
coverage	91.15807778483764
